質問,回答,対応カテゴリー,根拠資料,備考,FAQ_ID,表示順序
PIP-Makerはどのようなツールですか？,"PIP-Makerは、PowerPoint資料をアップロードするだけで、ナレーション付きの動画教材を自動生成できるクラウドサービスです。
社内研修・マニュアル・営業資料の動画化などに活用され、誰でも簡単にプロ品質の動画を作成可能です。
また、視聴ログの取得やセキュリティ機能も充実しており、法人向けに最適化されています。",about,https://www.pip-maker.com,よくある質問,about_001,1
他社製品との違いは何ですか？,"PIP-Makerの他社製品との主な違いは以下の3点です：
・PowerPointをそのまま活用でき、誰でも簡単に動画化できる操作性。
・ナレーションは自動音声 or プロ声優収録が選択可能で、用途に応じて品質を選べます。
・視聴者ごとのログ管理・アクセス制限など、法人利用に特化した機能が豊富です。",about,https://www.pip-maker.com/function/,よくある質問,about_002,2
導入にはどのくらいの期間が必要ですか？,"PIP-Makerの導入は最短即日から可能です。
操作も直感的で、マニュアルなしでもすぐに動画作成を開始できます。
さらに、初期設定や操作説明は専任スタッフがしっかりサポートするため安心です。",about,導入の流れ：https://www.pip-maker.com/flow/,よくある質問,about_003,3
どのような業界で導入されていますか？,"PIP-Makerは以下のような幅広い業界で導入実績があります：
・建築業での新規入場者教育や安全教育
・製造業・金融・医療・エネルギーなどの大手企業での研修やマニュアル動画化。
・大学・専門学校での講義動画配信やオンライン授業にも活用。
・自治体・公共機関での住民向け説明動画の作成にも対応。",cases, 活用事例：https://www.pip-maker.com/case/,よくある質問,cases_001,1
どのような導入効果がありますか？,"PIP-Makerの導入により、以下のような高い効果が報告されています：
・動画作成時間を最大90％削減し、業務効率が大幅に向上。
・説明の属人化を防ぎ、誰が説明しても均質な品質を確保可能。
・視聴ログの可視化により、受講状況の把握と改善提案が容易になります。",cases,効果の詳細：https://www.pip-maker.com/advantage/,よくある質問,cases_002,2
導入事例の詳細資料はありますか？,"はい、PIP-Makerでは業界別・用途別の導入事例資料を無料でダウンロードいただけます。
実際の課題や導入効果が詳しく紹介されており、自社導入の検討に非常に役立ちます。
まずは以下のページから資料をご請求ください。",cases,資料ダウンロード：https://www.pip-maker.com/download/,よくある質問,cases_003,3
主要な機能は何ですか？,"PIP-Makerの主要な機能は以下の通りです：
・PowerPointから自動でナレーション付き動画を生成（音声合成 or プロ声優収録）。
・視聴ログの取得・アクセス制限・パスワード保護などの配信管理機能。
・自動翻訳・字幕表示・チャプター設定などの高機能編集オプションも完備。",features,機能一覧はこちら：https://www.pip-maker.com/function/,よくある質問,features_001,1
インタラクティブ機能とはなんですか？,"インタラクティブ機能とは、視聴者が動画内で選択肢をクリックすることで再生内容が分岐する仕組みです。
例えば「営業向け」「技術向け」など、視聴者の興味や職種に合わせた情報提供が可能になります。
これにより、一人ひとりに最適化された視聴体験を実現できます。",features,https://www.pip-maker.com/function/#interactive,よくある質問,features_002,2
作成した動画の出力形式について教えてください。,"PIP-Makerで作成した動画の出力形式は以下の通りです：
・専用URLでのWeb配信が基本で、すぐに共有・視聴が可能です。
・MP4形式でのダウンロードも可能なため、社内サーバーやLMSでの利用にも対応。
・プレイリスト機能や視聴ログ機能と組み合わせて活用することで、より効果的な運用が可能です。",features,https://www.pip-maker.com/function/,よくある質問,features_003,3
料金プランについて教えてください。,"PIP-Makerの料金プランは、用途や規模に応じて柔軟に選べる法人向け半年単位のライセンス制です。
以下プラン毎によって料金が異なります。
・スタンダードプラスプラン：月額49800円(税抜)。スモールスタート向き。動画枠は5枠。
・プロフェッショナルプラスプラン：月額99800円(税抜)。標準プラン。動画枠は20枠で機能はほぼ網羅しています。
・エンタープライズプラン：お見積り。顧客のニーズに合わせてカスタマイズ可能です。お問合せください。",pricing,https://www.pip-maker.com/plan/,よくある質問,pricing_001,1
無料トライアルはありますか？,"はい、PIP-Makerには2週間の無料トライアルが可能です。
実際の操作感や動画作成フローを体験でき、導入前にしっかりと評価・比較できます。
即日発行も可能です。お気軽にお問い合わせいただください。",pricing,トライアル申込はこちら：https://www.pip-maker.com/trial/,よくある質問,pricing_002,2
月額費用以外にかかるものはありますか？,初期費用がかかりますが、基本的には月額費用のみとなり、従量課金ではございません。ただし、動画の枠数やアカウント数を追加したい場合は別途費用が必要になります。,pricing,https://www.pip-maker.com/price/,よくある質問,pricing_003,3
サポート体制について教えてください,"PIP-Makerのサポート体制は以下の通り充実しています：
・専任スタッフによる導入支援・操作レクチャーあり（オンライン対応可）
・導入後も、メール・電話による迅速なサポートを提供
・活用方法や運用改善のアドバイスまで含めた伴走支援も可能です",other,https://www.pip-maker.com/advantage/#support,よくある質問,other_001,1
研修・トレーニングはありますか？,"はい、PIP-Makerでは導入時に操作説明や活用トレーニングを実施しています。
初心者でも安心して使えるよう、画面共有によるオンライン研修やマニュアルの提供も充実しています。
導入後も、活用定着に向けたフォローアップ支援を継続して受けられます。",other,https://www.pip-maker.com/advantage/#support,よくある質問,other_002,2
セキュリティ対策について,"PIP-Makerは法人向けに最適化された高水準のセキュリティ対策を講じています：
・運営の株式会社4COLORSはISO27001を取得済です。
・IPアドレス制限などを搭載（スタンダードプラスプランを除きます）
・データは国内の信頼性の高いデータセンターで管理
",other,,よくある質問,other_003,3
パワーポイントをアップできる回数に制限はありますか？,パワーポイントのアップロードに回数制限はございません。何度でもパワーポイントをアップロードしていただけます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
PIP動画内で、内容の確認テストを行いたいです。どのように設定したらいいですか？,パワーポイント上で、ハイパーリンクの設定をすることで、クイズを作成することが可能です。詳細はインタラクティブ機能についての動画をご確認ください。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
3D動画を作成する際、2D動画と比較して利用できなくなる機能はありますか？,下記の機能が、3D動画では利用できません。ご了承ください。・背景アップロード・MP4動画へのエンコード・似顔絵Myアバター作成・オリジナルアバターの作成（企業キャラクターなど完全オリジナルのアバター）,features,https://www.pip-maker.com/faq/#faq_cat01,,,
Office365のパワーポイントは利用可能ですか？,パワーポイントファイル（.pptx）として保存いただければ利用可能です。現状のお客様でOffice 365をご利用されている方もおられます。注意点としては、Office 365特有の機能や設定をアップロードするパワーポイントファイルにも設定している場合、弊社サービスでエラー表示が出て動画作成ができない場合がございます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
自分の顔をアバター化は出来ますか？,ご自身のお顔のアバター化に関しましては、「似顔絵Myアバター」という機能がございます。自分の写真をアップすると、それをもとにお顔のアバター素材を生成しますので、自分に似せるよう調整しご利用いただくものです。似顔絵Myアバター機能は、すべてのプランでご利用いただけます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
自社オリジナルのキャラクターをアバターにすることはできますか？,オリジナルのアバターに関しましては、オプションを追加することで可能になります。1体25万円(税抜)～作成いたします。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
用途別（お客様公開用・社内研修用など）で、制作画面を分けることはできますか？,チームごとに制作画面を分けることができます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
動画制作サポートの、パワーポイント調整というのは、どのようなサポートですか？,お客様のパワーポイント資料への微調整につきまして、以下の【アドバイス＋資料】の修正を行っております：・目次を設定し、各項目にリンクで移動できるようにする・セリフに合わせてスライドのテキストや図に下線を引いたり、四角で囲ったりすることで強調させる・テキストやグラフのサイズを調整し、視覚的理解を向上させる※会社のイメージカラーに沿ったデザイン提案や雛形資料のご提供などは代行制作に含まれますので、パワーポイント資料への微調整には含まれません。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
使用頻度が高い業界用語や自社の製品名など、都度、音声調整をするのが面倒です。イントネーションの登録は可能ですか？,はい、可能です。読み方やイントネーションの辞書登録をさせていただきます。固有名詞や専門用語など、想定と違うイントネーションになってしまう単語は、弊社のシステムにて辞書登録をさせていただきます。カスタマーサポートまでご連絡ください。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
同時に何人まで視聴可能ですか？,人数制限はございません。過去に10万人規模の同時視聴の例がございましたが問題なく実施できました。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
MP4変換について、「1回/日を推奨」とのことですが、急ぎの場合でも変換できないのですか？,「1日1本推奨」はあくまで推奨です。機能としては1日に複数本のMP4ダウンロードが可能です。月末など処理集中時は混雑が予想されるため、分散利用にご協力ください。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
スペックの低いスマートフォンでも問題なく視聴できますか？,視聴は可能ですが、古い端末ではブラウザのバージョンによって再生が鈍くなる可能性があります。推奨環境をご参照ください。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
動画に対して公開制限をかけることはできますか？,動画視聴に対して IP 制限をかけることができます。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
視聴できる人を制限したいです。PIP‑Maker 上で個別の ID やパスワードを発行することはできますか？管理方法を教えてください。,プレイリスト機能を使うことで、視聴者ごとに ID/PW を設定でき、CSV 形式での書き出しにも対応しています。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
一度公開した動画は、契約終了後でも引き続き公開は可能でしょうか。動画は閲覧できなくなるのでしょうか。,HTML 形式（URL 配信）の場合は契約終了と共に視聴不可になりますが、MP4 に変換して保存した動画は契約後も閲覧可能です。ただし動画内ボタンは使えなくなるなど形式特有の制限があります。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
作成した動画は、自由に配布・販売していいのですか？,HTML 形式（URL 配信）の動画は契約中のみ配布・販売可能ですが、MP4 形式で保存した動画は解約後も自由に配布・販売していただけます。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
動画ファイルとして保存することはできますか？,はい、MP4 ファイルとして保存可能です。ただしエンコード時の注意点（リンク無効・最大尺90分・処理中の制限・ファイルサイズ大など）があります。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
作成した動画を別の配信基盤（YouTube、Microsoft Stream、Cornerstone）で配信可能か？出力形式は？,MP4 に変換して YouTube 等にアップロード可能です。SCORM 形式にも対応しており、SCORM対応 LMS に連携可能です。出力形式は MP4 または SCORM ファイルです。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
HTML 動画は、MP4 動画と比べてどれくらい軽いのですか？,HTML 動画は MP4 に比べて約10分の1程度軽く、視聴環境に左右されにくい形式です（アニメーションや埋め込み動画がある場合は除く）。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
動画のファイルサイズはどのくらいですか？,目安として、3 分の HTML 動画で約4.6 MB。その構成によって変動します。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
電話の自動応答機能として活用したいのですが可能でしょうか？,申し訳ございませんが、音声データのみの利用はご遠慮いただいております。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
動画の視聴履歴を取得することはできますか？,はい、視聴人数・どのスライドで離脱したか・スライド閲覧状況などを、日付や期間指定で取得可能です。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
作成した動画の著作権は誰のものですか？,基本的にお客様が所有します。ただしアバター、音声合成データ、BGM、PIP‑Maker ロゴなどの権利は 4COLORS が保有します。詳細は利用規約第26条をご確認ください。,features,https://www.pip-maker.com/faq/#faq_cat02,,,
半年を過ぎれば、自由なタイミングでの解約が可能になるのでしょうか？,半年契約での運用となりますため、次回の更新時期まで中途解約はできかねます。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
支払いのタイミングは、毎月支払い以外も選べますか？,お支払いのタイミングは以下の３通りからお選びいただけます：・毎月支払い（月末締め翌月末支払い）・半年一括払い・1年一括払い（1年一括は契約単位が1年）,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
契約が完了後、費用の発生はいつからになりますか？,利用開始日から費用が発生します。利用開始が月途中の場合は日割計算で請求されます。※初月は初期費用も請求されます。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
契約時の流れを教えてください。,お申込書をメール送付 → 記入後返送 → 弊社確認・初期設定 → 納品。お申込みから納品までは約3営業日要します。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
PIP‑Makerのトライアル利用には、申込書や手続きはありますか？,特にありません。問い合わせフォームから連絡いただければ、担当よりトライアルアカウント情報をご案内します。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
プランのアップグレードやダウングレードはいつでもできますか？,アップグレードはいつでも可能、ダウングレードは契約更新月のみ可能です。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
個人での申し込みは可能でしょうか？,申し訳ありませんが、国内法人のお客様に限定して提供しております。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
セキュリティについて教えてください。,IP制限やID認証など、お客様のニーズに応じたセキュリティ設定が可能で、大手金融機関の導入実績もあります。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
契約後の流れを教えてください。,ご契約後にトライアル表示を解除し正式アカウントに切替。スケジュール調整の上、勉強会や操作説明会を実施します。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
スポット契約は可能ですか？,PIP‑Makerは半年（6ヶ月）単位の月額サービスです。スポット契約は対象外となります。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
割引はありますか？,申し訳ございませんが、割引対応はしておりません。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
初期費用に含まれるものを教えてください。,初期費用には以下が含まれます：・導入説明会・初期サポート（資料改善・ノウハウ提供など）・専門用語辞書設定・環境構築サポート,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
支払い方法について教えてください。,月額払い：毎月25日前後に請求書をfreee経由で送付、お支払い期限は翌月末。一括払い：サービス開始後25日前後に6ヶ月分を請求、支払い期限は翌月末。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
どのプランがいいですか？,用途別の推奨プラン：・スタンダードプラス：少ない動画数、担当制制作者向き・プロフェッショナルプラス：MP4配信希望／制作サポート希望・プレミアムプラス以上：複数部署での活用を想定,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
トライアルで作成した動画は正式アカウントに引き継げますか？,はい。トライアル期間終了後も動画は1ヶ月間保存され、正式アカウントへ引き継ぎ可能です。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
トライアルと正式アカウントの違いはなんですか？,トライアルアカウントは「トライアルマーク」が表示されるのみで、その他は正式アカウントと同様の機能が利用できます。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
無料トライアルの期間は何週間ですか？,無料トライアル期間は 2週間 です。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
枠数○本とは毎月○本動画を作っていけるということですか？,「毎月○本の動画枠を維持する」形で編集・公開可能。1枠あたりパワーポイントスライドは最大100枚です。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
追加費用の発生はありませんか？,スタンダードプラスでは、MP4エンコード時などに追加費用が発生することがあります。他プランでも、制作者アカウント数超過などで追加費用が発生する場合があります。詳しくは料金表をご覧ください。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
視聴者数によって料金は変わりますか？,変動しません。視聴者数による課金ではなく固定料金です。※プレイリスト機能は除く。,pricing,https://www.pip-maker.com/faq/#faq_cat03,,,
値段が安くクオリティが心配です。,通常は複数人で分業する制作工程を、弊社では専任デザイナーが一貫して担当します。これによりコストを抑えつつ、パワーポイント資料をベースに高品質なデザインと構成にブラッシュアップしたコンテンツをご提供しています。,other,https://www.pip-maker.com/faq/#faq_pp,,,
編集可能なデータはいただけるのでしょうか？,はい。パワーポイントデータも一緒にご納品いたしますので、お客様側での編集が可能です。,other,https://www.pip-maker.com/faq/#faq_pp,,,
修正のタイミングはいつですか？,修正対応は動画制作の前後を通じて合計2回までとさせていただいております。3回目以降の修正は原則としてお受けしておりませんが、やむを得ない場合は別途追加料金が発生する可能性があります。,other,https://www.pip-maker.com/faq/#faq_pp,,,
納期はどのくらいかかりますか？,制作期間は原稿のボリュームや形式により異なります。ご希望納期にできる限り対応しますが、具体的なスケジュールは原稿を確認した上でお見積もりいたします。,other,https://www.pip-maker.com/faq/#faq_pp,,,
原稿10枚以下の場合でも10枚分の料金が発生しますか？,はい、その通りです。最低10枚からのご依頼となります。,other,https://www.pip-maker.com/faq/#faq_pp,,,
PIP-Makerを契約していない場合も代行制作をお願いできますか？,はい、可能です。スポットでのご依頼も承ります。納品形式はHTMLファイルまたはMP4ファイルから選べます。ただし、いずれもログ分析機能は付きません。またMP4納品時はインタラクティブ機能に対応しておりません。,other,https://www.pip-maker.com/faq/#faq_pp,,,
ライセンスのルールについて教えてください。,・原則1社1ライセンスです。・ご契約企業様がグループ会社用の研修動画の代行制作を行うことや、アカウントのサブライセンス付与はできません。別途グループ会社のライセンスが必要になります。詳しくはお問い合わせください。,other,https://www.pip-maker.com/faq/#faq_other,,,
国内だけでなく海外から視聴いただくケースもあるのですが、それにあたり起こりそうな問題はありますか？,GDPR対象国への動画配信では、個人情報に関連する同意確認が必須です。PIP-Makerではプレイリスト機能を使うことで、事前同意確認が可能です。,other,https://www.pip-maker.com/faq/#faq_other,,,
PIP-Makerのセキュリティを確認したいです。セキュリティチェックリストを記入・回答してもらえますか？,"チェックシートの記入は30問まで無料です。31問目以降は以下の料金が発生します：・記述式：1問 2,000円・選択式：1問 1,000円超過分のみ弊社で代行、30問まではお客様で記入いただく方法もご提案可能です。",other,https://www.pip-maker.com/faq/#faq_other,,,
PIP-Makerは海外利用可能でしょうか？,利用規約は日本法人向けであり、日本の法的基準に準拠した契約に限定されているため、サービスは日本法人のお客様のみに提供しています。,other,https://www.pip-maker.com/faq/#faq_other,,,
作成者のアカウントと視聴者のアカウントの両方が必要なのでしょうか？,・動画制作には「製作アカウント」が必要で、ご契約と同時に提供されます。・視聴アカウントは、プレイリスト機能を利用する場合のみ必要です。通常のURL形式の動画視聴には不要です。,other,https://www.pip-maker.com/faq/#faq_other,,,